step, x1, x2, y, phi1, phi2, Ax, Bx, Ay, By, C, taken_time
94, -0.189892, 0.189892, 0.189574, 2.105549, 2.105549, -0.353000, 0.353000, 0.283366, 0.283366, 1.178097, 1.040668
95, -0.194384, 0.194384, 0.186076, 2.120986, 2.120986, -0.353000, 0.353000, 0.280343, 0.280343, 1.178097, 1.023304
96, -0.199148, 0.199148, 0.182388, 2.137750, 2.137750, -0.353000, 0.353000, 0.277136, 0.277136, 1.178097, 1.030602
97, -0.204143, 0.204143, 0.178546, 2.155783, 2.155783, -0.353000, 0.353000, 0.273767, 0.273767, 1.178097, 1.022088
98, -0.209328, 0.209328, 0.174583, 2.175019, 2.175019, -0.353000, 0.353000, 0.270254, 0.270254, 1.178097, 1.037390
99, -0.214663, 0.214663, 0.170533, 2.195386, 2.195386, -0.353000, 0.353000, 0.266621, 0.266621, 1.178097, 1.016315
100, -0.220107, 0.220107, 0.166430, 2.216803, 2.216803, -0.353000, 0.353000, 0.262887, 0.262887, 1.178097, 1.017625
101, -0.225620, 0.225620, 0.162304, 2.239182, 2.239182, -0.353000, 0.353000, 0.259077, 0.259077, 1.178097, 1.000173
102, -0.231163, 0.231163, 0.158187, 2.262425, 2.262425, -0.353000, 0.353000, 0.255211, 0.255211, 1.178097, 0.989898
103, -0.236701, 0.236701, 0.154104, 2.286429, 2.286429, -0.353000, 0.353000, 0.251311, 0.251311, 1.178097, 1.001326
104, -0.242198, 0.242198, 0.150082, 2.311079, 2.311079, -0.353000, 0.353000, 0.247401, 0.247401, 1.178097, 0.978663
105, -0.247621, 0.247621, 0.146143, 2.336255, 2.336255, -0.353000, 0.353000, 0.243501, 0.243501, 1.178097, 0.992908
106, -0.252941, 0.252941, 0.142308, 2.361826, 2.361826, -0.353000, 0.353000, 0.239632, 0.239632, 1.178097, 0.982487
107, -0.258129, 0.258129, 0.138596, 2.387656, 2.387656, -0.353000, 0.353000, 0.235817, 0.235817, 1.178097, 0.962784
108, -0.263161, 0.263161, 0.135021, 2.413602, 2.413602, -0.353000, 0.353000, 0.232073, 0.232073, 1.178097, 0.976543
109, -0.268013, 0.268013, 0.131598, 2.439514, 2.439514, -0.353000, 0.353000, 0.228422, 0.228422, 1.178097, 0.961800
110, -0.272667, 0.272667, 0.128337, 2.465238, 2.465238, -0.353000, 0.353000, 0.224882, 0.224882, 1.178097, 0.938187
111, -0.277104, 0.277104, 0.125248, 2.490613, 2.490613, -0.353000, 0.353000, 0.221470, 0.221470, 1.178097, 0.949170
112, -0.281310, 0.281310, 0.122338, 2.515478, 2.515478, -0.353000, 0.353000, 0.218203, 0.218203, 1.178097, 0.932159
113, -0.285272, 0.285272, 0.119613, 2.539670, 2.539670, -0.353000, 0.353000, 0.215098, 0.215098, 1.178097, 0.935617
114, -0.288980, 0.288980, 0.117076, 2.563025, 2.563025, -0.353000, 0.353000, 0.212168, 0.212168, 1.178097, 0.919460
115, -0.292425, 0.292425, 0.114731, 2.585380, 2.585380, -0.353000, 0.353000, 0.209428, 0.209428, 1.178097, 0.964792
116, -0.295601, 0.295601, 0.112580, 2.606577, 2.606577, -0.353000, 0.353000, 0.206890, 0.206890, 1.178097, 0.940183
117, -0.298502, 0.298502, 0.110623, 2.626462, 2.626462, -0.353000, 0.353000, 0.204566, 0.204566, 1.178097, 0.916702
118, -0.301124, 0.301124, 0.108861, 2.644886, 2.644886, -0.353000, 0.353000, 0.202467, 0.202467, 1.178097, 0.866403
119, -0.303466, 0.303466, 0.107293, 2.661711, 2.661711, -0.353000, 0.353000, 0.200602, 0.200602, 1.178097, 0.912518
120, -0.305524, 0.305524, 0.105919, 2.676806, 2.676806, -0.353000, 0.353000, 0.198979, 0.198979, 1.178097, 0.855994
121, -0.307298, 0.307298, 0.104738, 2.690055, 2.690055, -0.353000, 0.353000, 0.197605, 0.197605, 1.178097, 0.872591
122, -0.308787, 0.308787, 0.103749, 2.701353, 2.701353, -0.353000, 0.353000, 0.196486, 0.196486, 1.178097, 0.874463
123, -0.309991, 0.309991, 0.102950, 2.710609, 2.710609, -0.353000, 0.353000, 0.195627, 0.195627, 1.178097, 0.815013
124, -0.310910, 0.310910, 0.102341, 2.717749, 2.717749, -0.353000, 0.353000, 0.195032, 0.195032, 1.178097, 0.817810
125, -0.311545, 0.311545, 0.101922, 2.722715, 2.722715, -0.353000, 0.353000, 0.194703, 0.194703, 1.178097, 0.810804
126, -0.311895, 0.311895, 0.101690, 2.725467, 2.725467, -0.353000, 0.353000, 0.194641, 0.194641, 1.178097, 0.749544
127, -0.311960, 0.311960, 0.101647, 2.725981, 2.725981, -0.353000, 0.353000, 0.194848, 0.194848, 1.178097, 0.710665
128, -0.311741, 0.311741, 0.101792, 2.724255, 2.724255, -0.353000, 0.353000, 0.195321, 0.195321, 1.178097, 0.739091
129, -0.311237, 0.311237, 0.102125, 2.720301, 2.720301, -0.353000, 0.353000, 0.196059, 0.196059, 1.178097, 0.812317
130, -0.310448, 0.310448, 0.102647, 2.714153, 2.714153, -0.353000, 0.353000, 0.197059, 0.197059, 1.178097, 0.809273
131, -0.309375, 0.309375, 0.103359, 2.705859, 2.705859, -0.353000, 0.353000, 0.198317, 0.198317, 1.178097, 0.814129
132, -0.308017, 0.308017, 0.104260, 2.695489, 2.695489, -0.353000, 0.353000, 0.199827, 0.199827, 1.178097, 0.862748
133, -0.306373, 0.306373, 0.105353, 2.683123, 2.683123, -0.353000, 0.353000, 0.201582, 0.201582, 1.178097, 0.854474
134, -0.304445, 0.304445, 0.106638, 2.668861, 2.668861, -0.353000, 0.353000, 0.203575, 0.203575, 1.178097, 0.848107
135, -0.302234, 0.302234, 0.108117, 2.652815, 2.652815, -0.353000, 0.353000, 0.205796, 0.205796, 1.178097, 0.880487
136, -0.299740, 0.299740, 0.109790, 2.635108, 2.635108, -0.353000, 0.353000, 0.208237, 0.208237, 1.178097, 0.873212
137, -0.296967, 0.296967, 0.111657, 2.615876, 2.615876, -0.353000, 0.353000, 0.210886, 0.210886, 1.178097, 0.901116
138, -0.293916, 0.293916, 0.113720, 2.595262, 2.595262, -0.353000, 0.353000, 0.213730, 0.213730, 1.178097, 0.894100
139, -0.290594, 0.290594, 0.115976, 2.573419, 2.573419, -0.353000, 0.353000, 0.216757, 0.216757, 1.178097, 0.927147
140, -0.287006, 0.287006, 0.118425, 2.550503, 2.550503, -0.353000, 0.353000, 0.219952, 0.219952, 1.178097, 0.903722
141, -0.283159, 0.283159, 0.121064, 2.526675, 2.526675, -0.353000, 0.353000, 0.223299, 0.223299, 1.178097, 0.940328
142, -0.279064, 0.279064, 0.123890, 2.502098, 2.502098, -0.353000, 0.353000, 0.226783, 0.226783, 1.178097, 0.950882
143, -0.274731, 0.274731, 0.126898, 2.476937, 2.476937, -0.353000, 0.353000, 0.230385, 0.230385, 1.178097, 0.943250
144, -0.270175, 0.270175, 0.130081, 2.451353, 2.451353, -0.353000, 0.353000, 0.234088, 0.234088, 1.178097, 0.960776
145, -0.265411, 0.265411, 0.133431, 2.425509, 2.425509, -0.353000, 0.353000, 0.237873, 0.237873, 1.178097, 0.945479
146, -0.260459, 0.260459, 0.136937, 2.399559, 2.399559, -0.353000, 0.353000, 0.241720, 0.241720, 1.178097, 1.003775
147, -0.255340, 0.255340, 0.140588, 2.373657, 2.373657, -0.353000, 0.353000, 0.245608, 0.245608, 1.178097, 0.990245
148, -0.250078, 0.250078, 0.144369, 2.347950, 2.347950, -0.353000, 0.353000, 0.249517, 0.249517, 1.178097, 0.949830
149, -0.244698, 0.244698, 0.148262, 2.322576, 2.322576, -0.353000, 0.353000, 0.253424, 0.253424, 1.178097, 0.963724
150, -0.239231, 0.239231, 0.152249, 2.297669, 2.297669, -0.353000, 0.353000, 0.257308, 0.257308, 1.178097, 0.979919
151, -0.233708, 0.233708, 0.156307, 2.273354, 2.273354, -0.353000, 0.353000, 0.261147, 0.261147, 1.178097, 0.969272
152, -0.228163, 0.228163, 0.160412, 2.249748, 2.249748, -0.353000, 0.353000, 0.264918, 0.264918, 1.178097, 0.987027
153, -0.222631, 0.222631, 0.164537, 2.226960, 2.226960, -0.353000, 0.353000, 0.268600, 0.268600, 1.178097, 1.004480
154, -0.217150, 0.217150, 0.168654, 2.205090, 2.205090, -0.353000, 0.353000, 0.272171, 0.272171, 1.178097, 1.059083
155, -0.211761, 0.211761, 0.172733, 2.184231, 2.184231, -0.353000, 0.353000, 0.275609, 0.275609, 1.178097, 1.031093
156, -0.206502, 0.206502, 0.176740, 2.164466, 2.164466, -0.353000, 0.353000, 0.278893, 0.278893, 1.178097, 1.024512
157, -0.201414, 0.201414, 0.180642, 2.145872, 2.145872, -0.353000, 0.353000, 0.282002, 0.282002, 1.178097, 1.054616
158, -0.196539, 0.196539, 0.184405, 2.128519, 2.128519, -0.353000, 0.353000, 0.284918, 0.284918, 1.178097, 1.038433
159, -0.191917, 0.191917, 0.187994, 2.112466, 2.112466, -0.353000, 0.353000, 0.287621, 0.287621, 1.178097, 1.047031
160, -0.187588, 0.187588, 0.191375, 2.097769, 2.097769, -0.353000, 0.353000, 0.290095, 0.290095, 1.178097, 1.038637
161, -0.183590, 0.183590, 0.194514, 2.084475, 2.084475, -0.353000, 0.353000, 0.292323, 0.292323, 1.178097, 1.075956
162, -0.179958, 0.179958, 0.197378, 2.072627, 2.072627, -0.353000, 0.353000, 0.294290, 0.294290, 1.178097, 1.050456
