step,x1,x2,y,phi1,phi2,Ax,Bx,Ay,By,C,calc_time,anim_time
142,-0.279064,0.279064,0.123890,2.502098,2.502098,-0.353000,0.353000,0.226783,0.226783,1.178097,0.925642,1.420000
143,-0.274731,0.274731,0.126898,2.476937,2.476937,-0.353000,0.353000,0.230385,0.230385,1.178097,0.922539,1.430000
144,-0.270175,0.270175,0.130081,2.451353,2.451353,-0.353000,0.353000,0.234088,0.234088,1.178097,0.950669,1.440000
145,-0.265411,0.265411,0.133431,2.425509,2.425509,-0.353000,0.353000,0.237873,0.237873,1.178097,0.927280,1.450000
146,-0.260459,0.260459,0.136937,2.399559,2.399559,-0.353000,0.353000,0.241720,0.241720,1.178097,0.939868,1.460000
147,-0.255340,0.255340,0.140588,2.373657,2.373657,-0.353000,0.353000,0.245608,0.245608,1.178097,0.956250,1.470000
148,-0.250078,0.250078,0.144369,2.347950,2.347950,-0.353000,0.353000,0.249517,0.249517,1.178097,0.942356,1.480000
149,-0.244698,0.244698,0.148262,2.322576,2.322576,-0.353000,0.353000,0.253424,0.253424,1.178097,0.959579,1.490000
150,-0.239231,0.239231,0.152249,2.297669,2.297669,-0.353000,0.353000,0.257308,0.257308,1.178097,0.982688,1.500000
151,-0.233708,0.233708,0.156307,2.273354,2.273354,-0.353000,0.353000,0.261147,0.261147,1.178097,0.966416,1.510000
152,-0.228163,0.228163,0.160412,2.249748,2.249748,-0.353000,0.353000,0.264918,0.264918,1.178097,0.984470,1.520000
153,-0.222631,0.222631,0.164537,2.226960,2.226960,-0.353000,0.353000,0.268600,0.268600,1.178097,1.000763,1.530000
154,-0.217150,0.217150,0.168654,2.205090,2.205090,-0.353000,0.353000,0.272171,0.272171,1.178097,0.989756,1.540000
155,-0.211761,0.211761,0.172733,2.184231,2.184231,-0.353000,0.353000,0.275609,0.275609,1.178097,1.022849,1.550000
156,-0.206502,0.206502,0.176740,2.164466,2.164466,-0.353000,0.353000,0.278893,0.278893,1.178097,0.994475,1.560000
157,-0.201414,0.201414,0.180642,2.145872,2.145872,-0.353000,0.353000,0.282002,0.282002,1.178097,1.011415,1.570000
158,-0.196539,0.196539,0.184405,2.128519,2.128519,-0.353000,0.353000,0.284918,0.284918,1.178097,1.011459,1.580000
159,-0.191917,0.191917,0.187994,2.112466,2.112466,-0.353000,0.353000,0.287621,0.287621,1.178097,1.019756,1.590000
160,-0.187588,0.187588,0.191375,2.097769,2.097769,-0.353000,0.353000,0.290095,0.290095,1.178097,1.009059,1.600000
161,-0.183590,0.183590,0.194514,2.084475,2.084475,-0.353000,0.353000,0.292323,0.292323,1.178097,1.034889,1.610000
162,-0.179958,0.179958,0.197378,2.072627,2.072627,-0.353000,0.353000,0.294290,0.294290,1.178097,1.030269,1.620000
163,-0.176727,0.176727,0.199937,2.062259,2.062259,-0.353000,0.353000,0.295985,0.295985,1.178097,1.018613,1.630000
164,-0.173926,0.173926,0.202163,2.053402,2.053402,-0.353000,0.353000,0.297396,0.297396,1.178097,1.009441,1.640000
165,-0.171582,0.171582,0.204032,2.046082,2.046082,-0.353000,0.353000,0.298512,0.298512,1.178097,1.031435,1.650000
166,-0.169719,0.169719,0.205522,2.040318,2.040318,-0.353000,0.353000,0.299328,0.299328,1.178097,0.998325,1.660000
167,-0.168353,0.168353,0.206616,2.036126,2.036126,-0.353000,0.353000,0.299837,0.299837,1.178097,0.989932,1.670000
168,-0.167499,0.167499,0.207301,2.033517,2.033517,-0.353000,0.353000,0.300036,0.300036,1.178097,0.980692,1.680000
169,-0.167164,0.167164,0.207569,2.032499,2.032499,-0.353000,0.353000,0.299924,0.299924,1.178097,0.915150,1.690000
170,-0.167353,0.167353,0.207418,2.033074,2.033074,-0.353000,0.353000,0.299501,0.299501,1.178097,0.872699,1.700000
171,-0.168063,0.168063,0.206848,2.035239,2.035239,-0.353000,0.353000,0.298770,0.298770,1.178097,0.950181,1.710000
172,-0.169287,0.169287,0.205867,2.038991,2.038991,-0.353000,0.353000,0.297737,0.297737,1.178097,0.987596,1.720000
173,-0.171014,0.171014,0.204486,2.044318,2.044318,-0.353000,0.353000,0.296407,0.296407,1.178097,0.994623,1.730000
174,-0.173226,0.173226,0.202721,2.051207,2.051207,-0.353000,0.353000,0.294791,0.294791,1.178097,1.019056,1.740000
175,-0.175902,0.175902,0.200592,2.059638,2.059638,-0.353000,0.353000,0.292898,0.292898,1.178097,1.021091,1.750000
176,-0.179016,0.179016,0.198123,2.069588,2.069588,-0.353000,0.353000,0.290741,0.290741,1.178097,1.023295,1.760000
177,-0.182540,0.182540,0.195341,2.081027,2.081027,-0.353000,0.353000,0.288334,0.288334,1.178097,1.081842,1.770000
178,-0.186439,0.186439,0.192275,2.093922,2.093922,-0.353000,0.353000,0.285693,0.285693,1.178097,1.017673,1.780000
179,-0.190680,0.190680,0.188958,2.108233,2.108233,-0.353000,0.353000,0.282835,0.282835,1.178097,1.013872,1.790000
180,-0.195224,0.195224,0.185424,2.123913,2.123913,-0.353000,0.353000,0.279777,0.279777,1.178097,0.995997,1.800000
181,-0.200033,0.200033,0.181706,2.140910,2.140910,-0.353000,0.353000,0.276540,0.276540,1.178097,1.007534,1.810000
182,-0.205065,0.205065,0.177839,2.159165,2.159165,-0.353000,0.353000,0.273143,0.273143,1.178097,0.991855,1.820000
183,-0.210281,0.210281,0.173858,2.178610,2.178610,-0.353000,0.353000,0.269607,0.269607,1.178097,1.001308,1.830000
184,-0.215638,0.215638,0.169796,2.199173,2.199173,-0.353000,0.353000,0.265954,0.265954,1.178097,0.995217,1.840000
185,-0.221097,0.221097,0.165686,2.220770,2.220770,-0.353000,0.353000,0.262205,0.262205,1.178097,1.052342,1.850000
186,-0.226618,0.226618,0.161560,2.243312,2.243312,-0.353000,0.353000,0.258383,0.258383,1.178097,1.001076,1.860000
187,-0.232164,0.232164,0.157447,2.266701,2.266701,-0.353000,0.353000,0.254509,0.254509,1.178097,0.991046,1.870000
188,-0.237697,0.237697,0.153373,2.290830,2.290830,-0.353000,0.353000,0.250606,0.250606,1.178097,0.998395,1.880000
189,-0.243182,0.243182,0.149365,2.315584,2.315584,-0.353000,0.353000,0.246696,0.246696,1.178097,0.960608,1.890000
190,-0.248589,0.248589,0.145443,2.340841,2.340841,-0.353000,0.353000,0.242800,0.242800,1.178097,0.952595,1.900000
191,-0.253887,0.253887,0.141629,2.366469,2.366469,-0.353000,0.353000,0.238940,0.238940,1.178097,0.962653,1.910000
192,-0.259049,0.259049,0.137941,2.392331,2.392331,-0.353000,0.353000,0.235136,0.235136,1.178097,0.934586,1.920000
193,-0.264050,0.264050,0.134392,2.418282,2.418282,-0.353000,0.353000,0.231408,0.231408,1.178097,0.946540,1.930000
194,-0.268868,0.268868,0.130998,2.444172,2.444172,-0.353000,0.353000,0.227775,0.227775,1.178097,0.929309,1.940000
195,-0.273483,0.273483,0.127767,2.469844,2.469844,-0.353000,0.353000,0.224257,0.224257,1.178097,0.911778,1.950000
196,-0.277880,0.277880,0.124710,2.495140,2.495140,-0.353000,0.353000,0.220870,0.220870,1.178097,0.924449,1.960000
197,-0.282043,0.282043,0.121833,2.519896,2.519896,-0.353000,0.353000,0.217631,0.217631,1.178097,0.903055,1.970000
198,-0.285960,0.285960,0.119141,2.543949,2.543949,-0.353000,0.353000,0.214556,0.214556,1.178097,0.917963,1.980000
199,-0.289621,0.289621,0.116639,2.567135,2.567135,-0.353000,0.353000,0.211659,0.211659,1.178097,0.897279,1.990000
200,-0.293018,0.293018,0.114329,2.589293,2.589293,-0.353000,0.353000,0.208955,0.208955,1.178097,0.870716,2.000000
201,-0.296144,0.296144,0.112212,2.610265,2.610265,-0.353000,0.353000,0.206455,0.206455,1.178097,0.877181,2.010000
202,-0.298995,0.298995,0.110291,2.629897,2.629897,-0.353000,0.353000,0.204171,0.204171,1.178097,0.849208,2.020000
203,-0.301567,0.301567,0.108564,2.648042,2.648042,-0.353000,0.353000,0.202113,0.202113,1.178097,0.861830,2.030000
204,-0.303858,0.303858,0.107031,2.664564,2.664564,-0.353000,0.353000,0.200291,0.200291,1.178097,0.865377,2.040000
205,-0.305865,0.305865,0.105692,2.679335,2.679335,-0.353000,0.353000,0.198712,0.198712,1.178097,0.832269,2.050000
206,-0.307587,0.307587,0.104545,2.692240,2.692240,-0.353000,0.353000,0.197384,0.197384,1.178097,0.839576,2.060000
207,-0.309025,0.309025,0.103591,2.703175,2.703175,-0.353000,0.353000,0.196312,0.196312,1.178097,0.832136,2.070000
208,-0.310178,0.310178,0.102826,2.712055,2.712055,-0.353000,0.353000,0.195500,0.195500,1.178097,0.794455,2.080000
209,-0.311046,0.311046,0.102252,2.718807,2.718807,-0.353000,0.353000,0.194953,0.194953,1.178097,0.798781,2.090000
210,-0.311629,0.311629,0.101866,2.723376,2.723376,-0.353000,0.353000,0.194672,0.194672,1.178097,0.787554,2.100000
211,-0.311927,0.311927,0.101669,2.725725,2.725725,-0.353000,0.353000,0.194659,0.194659,1.178097,0.728081,2.110000
212,-0.311941,0.311941,0.101660,2.725835,2.725835,-0.353000,0.353000,0.194913,0.194913,1.178097,0.621235,2.120000
213,-0.311671,0.311671,0.101838,2.723706,2.723706,-0.353000,0.353000,0.195435,0.195435,1.178097,0.746274,2.130000
214,-0.311116,0.311116,0.102206,2.719353,2.719353,-0.353000,0.353000,0.196220,0.196220,1.178097,0.831552,2.140000
